Regra;Suporte;Confiança;Lift
Venceu -> Grid_Front;0,041496435151806454;0,925;3,430414438502674
Podio -> Grid_Front;0,06777217015140591;0,7513321492007105;2,7863574624101215
Equipe_Ferrari -> Grid_Front;0,0616037811423536;0,6402997502081599;2,374587576306732
Equipe_Minardi -> Grid_Back;0,02419290234719218;0,9422776911076443;2,0461776842822865
Equipe_Outras, Nao_Pontuou -> Grid_Back;0,10598413842826243;0,7495750708215297;1,6277195110142046
Nao_Pontuou -> Grid_Back;0,20900424577425297;0,6914005565125214;1,5013922148292258
Abandono, Equipe_Outras -> Grid_Back;0,104582231835296;0,648695652173913;1,4086575325888415
Equipe_Tyrrell -> Grid_Back;0,021108707842666025;0,6229314420803782;1,3527099576392732
Equipe_Outras -> Grid_Back;0,22891131939437634;0,6031662269129288;1,3097893381845855
