Regra;Suporte;Confiança;Lift
Equipe_Mercedes, Venceu -> Grid_Front;0,025728597449908925;0,9826086956521739;3,2743682786831165
Venceu -> Grid_Front;0,048041894353369766;0,9590909090909092;3,195999448199752
Equipe_Ferrari, Podio -> Grid_Front;0,025045537340619307;0,9401709401709402;3,1329520252130263
Equipe_Mercedes, Podio -> Grid_Front;0,030965391621129327;0,918918918918919;3,0621334536357296
Podio -> Grid_Front;0,0883424408014572;0,881818181818182;2,9385018623258383
Equipe_Mercedes -> Grid_Front;0,08333333333333333;0,8337129840546696;2,778199867957594
Equipe_Red Bull -> Grid_Front;0,06944444444444445;0,710955710955711;2,3691331430329914
Equipe_Ferrari -> Grid_Front;0,07081056466302368;0,7100456621004567;2,3661005674849815
Equipe_Sauber, Nao_Pontuou -> Grid_Back;0,030965391621129327;0,912751677852349;2,2777303233679076
Equipe_Sauber -> Grid_Back;0,0441712204007286;0,8471615720524018;2,1140531957125845
