antecedents;consequents;support;confidence;lift
frozenset({'Venceu', 'Equipe_Mercedes'});frozenset({'Grid_Front'});0,025728597449908925;0,9826086956521739;3,2743682786831165
frozenset({'Venceu'});frozenset({'Grid_Front'});0,048041894353369766;0,9590909090909092;3,195999448199752
frozenset({'Podio', 'Equipe_Ferrari'});frozenset({'Grid_Front'});0,025045537340619307;0,9401709401709402;3,1329520252130263
frozenset({'Podio', 'Equipe_Mercedes'});frozenset({'Grid_Front'});0,030965391621129327;0,918918918918919;3,0621334536357296
frozenset({'Podio'});frozenset({'Grid_Front'});0,0883424408014572;0,881818181818182;2,9385018623258383
frozenset({'Equipe_Mercedes'});frozenset({'Grid_Front'});0,08333333333333333;0,8337129840546696;2,778199867957594
frozenset({'Equipe_Red Bull'});frozenset({'Grid_Front'});0,06944444444444445;0,710955710955711;2,3691331430329914
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Front'});0,07081056466302368;0,7100456621004567;2,3661005674849815
frozenset({'Equipe_Sauber', 'Nao_Pontuou'});frozenset({'Grid_Back'});0,030965391621129327;0,912751677852349;2,2777303233679076
frozenset({'Equipe_Sauber'});frozenset({'Grid_Back'});0,0441712204007286;0,8471615720524018;2,1140531957125845
frozenset({'Equipe_Williams', 'Grid_Back'});frozenset({'Nao_Pontuou'});0,0441712204007286;0,7265917602996256;2,095332246379485
frozenset({'Pontuou', 'Equipe_Ferrari'});frozenset({'Grid_Front'});0,030054644808743168;0,6285714285714286;2,0946022111424236
frozenset({'Nao_Pontuou', 'Equipe_Williams'});frozenset({'Grid_Back'});0,0441712204007286;0,8220338983050848;2,0513482280431434
frozenset({'Equipe_Sauber', 'Grid_Back'});frozenset({'Nao_Pontuou'});0,030965391621129327;0,7010309278350515;2,0216203775781656
frozenset({'Grid_Front', 'Equipe_Outras'});frozenset({'Pontuou'});0,02163023679417122;0,6785714285714285;1,9517260735335389
frozenset({'Grid_Back', 'Equipe_Outras'});frozenset({'Nao_Pontuou'});0,12750455373406194;0,6658739595719382;1,9202353450032517
frozenset({'Equipe_Sauber'});frozenset({'Nao_Pontuou'});0,033925318761384333;0,6506550218340611;1,8763472461557429
frozenset({'Nao_Pontuou', 'Equipe_Outras'});frozenset({'Grid_Back'});0,12750455373406194;0,7329842931937173;1,829128986197049
frozenset({'Nao_Pontuou'});frozenset({'Grid_Back'});0,2488615664845173;0,7176625082074852;1,7908941682086792
frozenset({'Grid_Back'});frozenset({'Nao_Pontuou'});0,2488615664845173;0,6210227272727272;1,790894168208679
frozenset({'Equipe_Williams'});frozenset({'Grid_Back'});0,060792349726775954;0,6238317757009345;1,5567438402718776
