antecedents;consequents;support;confidence;lift
frozenset({'Abandono'});frozenset({'Equipe_Outras'});0,3847343991748324;0,7944621938232163;1,0601942146064807
frozenset({'Equipe_Outras'});frozenset({'Abandono'});0,3847343991748324;0,5134205092911218;1,0601942146064807
frozenset({'Equipe_Outras', 'Grid_Middle'});frozenset({'Nao_Pontuou'});0,058793192367199584;0,2900763358778626;1,037745415622095
frozenset({'Nao_Pontuou'});frozenset({'Equipe_Outras', 'Grid_Middle'});0,058793192367199584;0,2103321033210332;1,037745415622095
frozenset({'Equipe_Outras'});frozenset({'Abandono', 'Grid_Middle'});0,09902011346054668;0,1321403991741225;1,0207977450144365
frozenset({'Abandono', 'Grid_Middle'});frozenset({'Equipe_Outras'});0,09902011346054668;0,7649402390438247;1,0207977450144363
frozenset({'Nao_Pontuou'});frozenset({'Grid_Middle'});0,07993811242908716;0,2859778597785978;1,0174515047902772
frozenset({'Grid_Middle'});frozenset({'Nao_Pontuou'});0,07993811242908716;0,2844036697247706;1,017451504790277
frozenset({'Equipe_Outras', 'Grid_Middle'});frozenset({'Abandono'});0,09902011346054668;0,4885496183206107;1,00883675178239
frozenset({'Abandono'});frozenset({'Equipe_Outras', 'Grid_Middle'});0,09902011346054668;0,20447284345047925;1,00883675178239
frozenset({'Nao_Pontuou', 'Grid_Middle'});frozenset({'Equipe_Outras'});0,058793192367199584;0,7354838709677419;0,9814887995915015
frozenset({'Equipe_Outras'});frozenset({'Nao_Pontuou', 'Grid_Middle'});0,058793192367199584;0,07845836200963523;0,9814887995915013
frozenset({'Nao_Pontuou', 'Grid_Front'});frozenset({'Equipe_Outras'});0,021660649819494584;0,7241379310344828;0,9663478652965327
frozenset({'Grid_Middle'});frozenset({'Equipe_Outras'});0,20268179473955647;0,7211009174311926;0,9622950302127202
frozenset({'Equipe_Outras'});frozenset({'Grid_Middle'});0,20268179473955647;0,270474879559532;0,9622950302127201
frozenset({'Abandono'});frozenset({'Grid_Middle'});0,1294481691593605;0,26730564430244946;0,9510195308301825
frozenset({'Grid_Middle'});frozenset({'Abandono'});0,1294481691593605;0,4605504587155963;0,9510195308301824
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Middle'});0,0479628674574523;0,2634560906515581;0,9373235959144425
frozenset({'Grid_Middle'});frozenset({'Equipe_Ferrari'});0,0479628674574523;0,1706422018348624;0,9373235959144425
frozenset({'Podio'});frozenset({'Grid_Middle'});0,02527075812274368;0,26344086021505375;0,937269409095393
frozenset({'Grid_Middle'});frozenset({'Podio'});0,02527075812274368;0,08990825688073394;0,937269409095393
frozenset({'Equipe_Outras', 'Grid_Front'});frozenset({'Abandono'});0,06910778751933987;0,4511784511784512;0,9316666845953322
frozenset({'Abandono'});frozenset({'Equipe_Outras', 'Grid_Front'});0,06910778751933987;0,14270500532481364;0,9316666845953322
frozenset({'Grid_Middle'});frozenset({'Equipe_Outras', 'Abandono'});0,09902011346054668;0,35229357798165134;0,9156799567110214
frozenset({'Equipe_Outras', 'Abandono'});frozenset({'Grid_Middle'});0,09902011346054668;0,257372654155496;0,9156799567110214
frozenset({'Grid_Middle'});frozenset({'Nao_Pontuou', 'Equipe_Outras'});0,058793192367199584;0,2091743119266055;0,8993104009438759
frozenset({'Nao_Pontuou', 'Equipe_Outras'});frozenset({'Grid_Middle'});0,058793192367199584;0,25277161862527714;0,8993104009438758
frozenset({'Pontuou'});frozenset({'Equipe_Outras'});0,062403300670448685;0,6540540540540541;0,8728223061326985
frozenset({'Equipe_Outras'});frozenset({'Pontuou'});0,062403300670448685;0,08327598072952512;0,8728223061326985
frozenset({'Pontuou', 'Grid_Middle'});frozenset({'Equipe_Outras'});0,027333677153171736;0,646341463414634;0,8625300052036995
frozenset({'Grid_Front', 'Abandono'});frozenset({'Equipe_Outras'});0,06910778751933987;0,6320754716981133;0,8434923190795882
frozenset({'Equipe_Outras'});frozenset({'Grid_Front', 'Abandono'});0,06910778751933987;0,09222298692360634;0,8434923190795882
frozenset({'Grid_Front'});frozenset({'Abandono'});0,10933470861268695;0,3970037453183521;0,8197979362857133
frozenset({'Abandono'});frozenset({'Grid_Front'});0,10933470861268695;0,22577209797657083;0,8197979362857133
frozenset({'Grid_Front'});frozenset({'Equipe_Outras'});0,15317173800928313;0,5561797752808989;0,7422110008738217
frozenset({'Equipe_Outras'});frozenset({'Grid_Front'});0,15317173800928313;0,20440467997247075;0,7422110008738217
frozenset({'Equipe_Ferrari'});frozenset({'Abandono'});0,06395048994326973;0,3512747875354108;0,7253693429511838
frozenset({'Abandono'});frozenset({'Equipe_Ferrari'});0,06395048994326973;0,13205537806176784;0,7253693429511837
frozenset({'Venceu'});frozenset({'Equipe_Outras'});0,024239298607529654;0,5402298850574713;0,7209261852212229
frozenset({'Equipe_Ferrari'});frozenset({'Nao_Pontuou'});0,03558535327488396;0,1954674220963173;0,6992828993445742
frozenset({'Nao_Pontuou'});frozenset({'Equipe_Ferrari'});0,03558535327488396;0,12730627306273062;0,6992828993445742
frozenset({'Grid_Front'});frozenset({'Equipe_Outras', 'Abandono'});0,06910778751933987;0,250936329588015;0,6522326314626824
frozenset({'Equipe_Outras', 'Abandono'});frozenset({'Grid_Front'});0,06910778751933987;0,17962466487935658;0,6522326314626824
frozenset({'Equipe_Ferrari', 'Grid_Front'});frozenset({'Abandono'});0,030943785456420837;0,30927835051546393;0,6386482658673958
frozenset({'Abandono'});frozenset({'Equipe_Ferrari', 'Grid_Front'});0,030943785456420837;0,06389776357827477;0,6386482658673958
frozenset({'Equipe_Outras'});frozenset({'Podio'});0,04538421866941723;0,060564349621472814;0,6313670640647085
frozenset({'Podio'});frozenset({'Equipe_Outras'});0,04538421866941723;0,47311827956989244;0,6313670640647084
frozenset({'Grid_Front', 'Podio'});frozenset({'Equipe_Outras'});0,02527075812274368;0,40163934426229503;0,5359798269267654
frozenset({'Equipe_Outras', 'Grid_Front'});frozenset({'Nao_Pontuou'});0,021660649819494584;0,1414141414141414;0,5059077863505907
frozenset({'Nao_Pontuou'});frozenset({'Equipe_Outras', 'Grid_Front'});0,021660649819494584;0,07749077490774907;0,5059077863505907
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Back'});0,03403816400206292;0,1869688385269122;0,4215495091903288
frozenset({'Grid_Back'});frozenset({'Equipe_Ferrari'});0,03403816400206292;0,07674418604651163;0,4215495091903288
frozenset({'Grid_Front'});frozenset({'Nao_Pontuou'});0,029912325941206807;0,10861423220973783;0,3885664137540252
frozenset({'Nao_Pontuou'});frozenset({'Grid_Front'});0,029912325941206807;0,1070110701107011;0,3885664137540252
frozenset({'Nao_Pontuou', 'Equipe_Outras'});frozenset({'Grid_Front'});0,021660649819494584;0,09312638580931264;0,33814992899673635
frozenset({'Grid_Front'});frozenset({'Nao_Pontuou', 'Equipe_Outras'});0,021660649819494584;0,07865168539325842;0,33814992899673635
