antecedente,consequente,suporte,confianca,lift
Equipe_Mercedes | Venceu,Grid_Front,0.025728597449908925,0.9826086956521739,3.2743682786831165
Venceu,Grid_Front,0.048041894353369766,0.9590909090909092,3.195999448199752
Equipe_Ferrari | Podio,Grid_Front,0.025045537340619307,0.9401709401709402,3.1329520252130263
Equipe_Mercedes | Podio,Grid_Front,0.030965391621129327,0.918918918918919,3.0621334536357296
Podio,Grid_Front,0.0883424408014572,0.881818181818182,2.9385018623258383
Equipe_Mercedes,Grid_Front,0.08333333333333333,0.8337129840546696,2.778199867957594
Equipe_Red Bull,Grid_Front,0.06944444444444445,0.710955710955711,2.3691331430329914
Equipe_Ferrari,Grid_Front,0.07081056466302368,0.7100456621004567,2.3661005674849815
Equipe_Sauber | Nao_Pontuou,Grid_Back,0.030965391621129327,0.912751677852349,2.2777303233679076
Equipe_Sauber,Grid_Back,0.0441712204007286,0.8471615720524018,2.1140531957125845
Equipe_Williams | Grid_Back,Nao_Pontuou,0.0441712204007286,0.7265917602996256,2.095332246379485
Equipe_Ferrari | Pontuou,Grid_Front,0.030054644808743168,0.6285714285714286,2.0946022111424236
Equipe_Williams | Nao_Pontuou,Grid_Back,0.0441712204007286,0.8220338983050848,2.0513482280431434
Equipe_Sauber | Grid_Back,Nao_Pontuou,0.030965391621129327,0.7010309278350515,2.0216203775781656
Equipe_Outras | Grid_Front,Pontuou,0.02163023679417122,0.6785714285714285,1.9517260735335389
Equipe_Outras | Grid_Back,Nao_Pontuou,0.12750455373406194,0.6658739595719382,1.9202353450032517
Equipe_Sauber,Nao_Pontuou,0.033925318761384333,0.6506550218340611,1.8763472461557429
Equipe_Outras | Nao_Pontuou,Grid_Back,0.12750455373406194,0.7329842931937173,1.829128986197049
Nao_Pontuou,Grid_Back,0.2488615664845173,0.7176625082074852,1.7908941682086792
Grid_Back,Nao_Pontuou,0.2488615664845173,0.6210227272727272,1.790894168208679
Equipe_Williams,Grid_Back,0.060792349726775954,0.6238317757009345,1.5567438402718776
